point_id,lat,lon,aoi,time,variable,stat,radius_m,value
CB001,-42.596,148.233,Hobart,2022-10-01,eco_hour_v002,nearest,0.0,
CB001,-42.596,148.233,Hobart,2022-10-01,eco_sst_v002,count_valid,300.0,0.0
CB001,-42.596,148.233,Hobart,2022-10-01,eco_sst_v002,nanmean,300.0,
CB001,-42.596,148.233,Hobart,2022-10-01,eco_sst_v002,nanstd,300.0,
CB001,-42.596,148.233,Hobart,2022-10-01,eco_sst_v002_clean,count_valid,300.0,0.0
CB001,-42.596,148.233,Hobart,2022-10-01,eco_sst_v002_clean,nanmean,300.0,
CB001,-42.596,148.233,Hobart,2022-10-01,eco_sst_v002_clean,nanstd,300.0,
CB001,-42.596,148.233,Hobart,2022-10-01,eco_wind_speed_era5,nanmean,300.0,
CB001,-42.596,148.233,Hobart,2022-10-01,lst_hour,nearest,0.0,
CB001,-42.596,148.233,Hobart,2022-10-01,lst_sst,count_valid,300.0,0.0
CB001,-42.596,148.233,Hobart,2022-10-01,lst_sst,nanmean,300.0,
CB001,-42.596,148.233,Hobart,2022-10-01,lst_sst,nanstd,300.0,
CB001,-42.596,148.233,Hobart,2022-10-01,lst_sst_clean,count_valid,300.0,0.0
CB001,-42.596,148.233,Hobart,2022-10-01,lst_sst_clean,nanmean,300.0,
CB001,-42.596,148.233,Hobart,2022-10-01,lst_sst_clean,nanstd,300.0,
CB001,-42.596,148.233,Hobart,2022-10-01,lst_wind_speed_era5,nanmean,300.0,
CB001,-42.596,148.233,Hobart,2022-10-01,modis_sst_aqua,nanmean,1000.0,286.19520589057976
CB001,-42.596,148.233,Hobart,2022-10-01,mur_sst,nanmean,1000.0,286.0093874724015
CB001,-42.596,148.233,Hobart,2022-10-02,eco_hour_v002,nearest,0.0,
CB001,-42.596,148.233,Hobart,2022-10-02,eco_sst_v002,count_valid,300.0,0.0
CB001,-42.596,148.233,Hobart,2022-10-02,eco_sst_v002,nanmean,300.0,
CB001,-42.596,148.233,Hobart,2022-10-02,eco_sst_v002,nanstd,300.0,
CB001,-42.596,148.233,Hobart,2022-10-02,eco_sst_v002_clean,count_valid,300.0,0.0
CB001,-42.596,148.233,Hobart,2022-10-02,eco_sst_v002_clean,nanmean,300.0,
CB001,-42.596,148.233,Hobart,2022-10-02,eco_sst_v002_clean,nanstd,300.0,
CB001,-42.596,148.233,Hobart,2022-10-02,eco_wind_speed_era5,nanmean,300.0,
CB001,-42.596,148.233,Hobart,2022-10-02,lst_hour,nearest,0.0,
CB001,-42.596,148.233,Hobart,2022-10-02,lst_sst,count_valid,300.0,0.0
CB001,-42.596,148.233,Hobart,2022-10-02,lst_sst,nanmean,300.0,
